Job ID,Position,Posting Status,Date Created,Application Deadline,Reposted,Term Posted,Number of Positions,All Degrees and Disciplines,Salary Range,Duration,Application Delivery Method,Application Procedure,Skills Categories,Duties Categories,Work Type,"Work Location (City, Province)",Organization Name,Country,Total View Count,Unique View Count,Application Count,Selected for Interview Count,Placement Records Count
1,Job Title 94,Expired,10/20/2022 01:39 PM,11/11/2022 11:59 PM,no,Winter 2023,1,No,,4 Months,Lassonde Co-op & Internship Portal,,"['ability', 'skills', 'environment', 'computer', 'management', 'work', 'experience', 'knowledge']","['engineering', 'team', 'design', 'business', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_1,Canada,4,1,1,0,0
2,Job Title 81,Expired,10/20/2022 01:30 PM,11/05/2022 11:59 PM,no,Winter 2023,1,No,,4 Months,Lassonde Co-op & Internship Portal,,"['ability', 'skills', 'environment', 'computer', 'management', 'work', 'experience', 'knowledge']","['engineering', 'team', 'design', 'business', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_1,Canada,3,1,1,0,0
3,Job Title 39,Expired,07/19/2022 03:16 PM,07/29/2022 11:59 PM,no,Fall 2022,1,No,,4 Months,Apply through the Employer's website:,,"['engineering', 'skills', 'computer', 'creativity', 'java', 'strong', 'program']","['work', 'development', 'solutions']",In-Person,"Toronto, ON",Organization_2,Canada,51,39,16,0,0
4,Job Title 53,Expired,05/17/2023 09:41 AM,05/21/2023 11:59 PM,no,Fall 2023,1,Yes,,8 Months,Lassonde Co-op & Internship Portal,,"['ability', 'skills', 'computer', 'communication', 'experience']","['team', 'software', 'data', 'development', 'work', 'solutions']",Hybrid (Remote and In-Person),"Markham, ON",Organization_3,Canada,28,23,10,0,0
5,Job Title 25,Expired,08/29/2023 02:11 PM,09/29/2023 11:59 PM,no,Winter 2024,1,No,TBD,4 Months,Apply through the Employer's website:,,"['engineering', 'ability', 'skills', 'environment', 'data', 'management', 'work']","['engineering', 'team', 'design', 'business', 'support', 'management', 'work', 'project']",In-Person,"Mississauga,ON",Organization_4,Canada,30,9,3,0,0
6,Job Title 79,Expired,01/25/2024 04:15 PM,02/08/2024 11:59 PM,no,Summer 2024,1,Yes,,8 Months,Lassonde Co-op & Internship Portal,,"['engineering', 'ability', 'skills', 'program', 'data', 'communication', 'strong', 'knowledge']","['data', 'work', 'support', 'management']",Hybrid (Remote and In-Person),"Vaughan, ON",Organization_5,Canada,205,161,57,0,0
7,Job Title 63,Expired,02/13/2023 03:13 PM,03/03/2023 11:59 PM,no,Summer 2023,1,No,,4 Months,Lassonde Co-op & Internship Portal,,"['engineering', 'team', 'ability', 'skills', 'communication', 'work', 'experience', 'knowledge']","['engineering', 'team', 'design', 'software', 'technical', 'support', 'development', 'work']",In-Person,"Mississauga, ON",Organization_6,Canada,43,14,7,5,0
8,Job Title 71,Expired,11/17/2023 09:15 AM,12/31/2023 11:59 PM,no,Summer 2024,2,No,,12 or 16 Months,Lassonde Co-op & Internship Portal,,"['python', 'team', 'programming', 'environment', 'ability', 'development', 'software development', 'java', 'experience', 'knowledge']","['team', 'business', 'software', 'data', 'support', 'development', 'management', 'software development', 'work', 'project']",Hybrid (Remote and In-Person),"Toronto, ON",Organization_7,Canada,120,71,14,1,7
9,Job Title 51,Expired,06/16/2023 10:20 AM,06/20/2023 11:59 PM,yes,Fall 2023,1,Yes,,12 Months,Apply through the Employer's website:,,"['engineering', 'team', 'machine learning', 'programming', 'algorithms', 'ability', 'skills', 'program', 'data', 'computer', 'visualization', 'management', 'time', 'communication', 'experience', 'knowledge']","['engineering', 'team', 'business', 'data', 'technical', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_8,Canada,35,24,5,0,0
10,Job Title 52,Expired,06/10/2023 10:04 AM,06/20/2023 11:59 PM,yes,Fall 2023,1,Yes,,12 Months,Apply through the Employer's website:,,"['engineering', 'team', 'machine learning', 'programming', 'algorithms', 'ability', 'skills', 'program', 'data', 'computer', 'visualization', 'management', 'time', 'communication', 'experience', 'knowledge']","['engineering', 'team', 'business', 'data', 'technical', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_8,Canada,41,31,6,0,3
11,Job Title 6,Expired,06/05/2023 10:44 AM,06/09/2023 11:59 PM,yes,Fall 2023,1,Yes,,12 Months,Apply through the Employer's website:,,"['python', 'engineering', 'team', 'machine learning', 'programming', 'algorithms', 'ability', 'skills', 'program', 'data', 'communication', 'computer', 'management', 'time', 'work', 'experience', 'knowledge']","['engineering', 'team', 'business', 'data', 'technical', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_8,Canada,30,26,3,0,0
12,Job Title 7,Expired,05/19/2023 04:31 PM,05/31/2023 11:59 PM,no,Fall 2023,1,Yes,,16 Months ONLY,Apply through the Employer's website:,,"['engineering', 'team', 'programming', 'environment', 'skills', 'program', 'communication', 'computer', 'management', 'time', 'work', 'experience', 'knowledge']","['engineering', 'team', 'design', 'data', 'technical', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_8,Canada,25,19,2,0,0
13,Job Title 27,Expired,05/19/2023 04:24 PM,05/31/2023 11:59 PM,no,Fall 2023,1,Yes,,16 Months ONLY,Apply through the Employer's website:,,"['python', 'engineering', 'team', 'ability', 'skills', 'program', 'data', 'visualization', 'communication', 'strong', 'knowledge']","['engineering', 'team', 'technology', 'business', 'software', 'data', 'technical', 'development', 'work']",In-Person,"Toronto, ON",Organization_8,Canada,20,15,2,0,0
14,Job Title 1,Expired,05/19/2023 10:04 AM,05/31/2023 11:59 PM,no,Fall 2023,1,Yes,,12 Months,Apply through the Employer's website:,,"['engineering', 'team', 'machine learning', 'programming', 'algorithms', 'ability', 'skills', 'program', 'data', 'computer', 'visualization', 'management', 'time', 'communication', 'experience', 'knowledge']","['engineering', 'team', 'business', 'data', 'technical', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_8,Canada,28,17,6,0,0
15,Job Title 79,Expired,05/19/2023 09:59 AM,05/31/2023 11:59 PM,no,Fall 2023,1,Yes,,12 Months,Apply through the Employer's website:,,"['engineering', 'team', 'machine learning', 'programming', 'algorithms', 'ability', 'skills', 'program', 'data', 'computer', 'visualization', 'management', 'time', 'communication', 'experience', 'knowledge']","['engineering', 'team', 'business', 'data', 'technical', 'support', 'development', 'management', 'work', 'project']",In-Person,"Toronto, ON",Organization_8,Canada,33,21,8,0,3
